CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"3,850",150.30,157.40,"1,650",560.00,"34,100",0.15,0.60,"6,600",-,-,-,-,-,-,
,6,-1,2,-,133.50,21.50,"3,850",131.00,136.35,550,580.00,"4,400",0.45,0.50,"9,900",-0.05,0.50,42.76,379,-12,"2,425",
,138,-45,120,38.42,115.00,-5.40,550,113.85,116.00,550,600.00,"17,050",0.85,0.90,"13,750",-0.15,0.90,40.58,"2,463",82,"5,301",
,-,-,-,-,-,-,"1,650",101.90,108.45,"1,650",610.00,"5,500",1.25,1.35,"3,300",-0.05,1.30,40.11,281,78,925,
,60,-,2,36.99,95.80,-2.05,550,94.25,98.15,550,620.00,"1,650",1.65,1.75,"1,650",-,1.70,38.92,688,-182,"1,157",
,91,-,-,-,92.15,0.95,"5,500",84.50,88.25,"3,850",630.00,550,2.25,2.35,"2,750",-,2.20,37.65,832,-7,950,
,320,-3,12,29.13,75.70,-6.70,550,75.75,78.70,"4,400",640.00,"1,650",2.95,3.05,"2,200",0.10,2.95,36.74,826,18,"1,401",
,487,-8,38,32.80,67.55,-6.00,550,67.50,69.25,550,650.00,"1,650",3.90,4.00,"35,200",0.25,3.90,35.76,"2,086",-97,"3,363",
,319,-21,61,32.11,58.75,-5.60,"1,650",56.70,60.65,550,660.00,550,5.05,5.10,"1,100",0.50,5.10,34.73,"1,632",-58,"1,969",
,270,-4,39,31.38,50.30,-5.60,"2,750",47.90,52.00,"1,650",670.00,"1,100",6.60,6.65,550,0.65,6.60,33.63,"2,380",302,"2,084",
,722,-122,379,30.18,42.05,-5.55,550,41.70,42.95,550,680.00,"2,200",8.55,8.75,550,1.00,8.60,32.72,"2,755",163,"2,840",
,"1,345",-32,522,31.05,35.50,-4.30,550,35.35,36.45,550,690.00,"1,100",11.05,11.50,"1,100",1.30,11.10,31.81,"3,379",101,"2,483",
,"5,910",268,"3,004",30.44,28.80,-3.80,550,28.30,28.80,550,700.00,550,14.25,14.35,550,1.60,14.20,30.93,"8,041",435,"6,307",
,"4,497",757,"4,440",29.98,22.90,-3.35,"2,200",22.80,23.00,"1,650",710.00,"1,650",18.35,18.45,"3,300",2.25,18.40,30.68,"6,632",212,"2,698",
,"8,633","1,270","11,934",29.95,18.05,-2.75,"1,100",17.95,18.05,"11,550",720.00,550,23.25,23.80,"1,100",2.75,23.40,30.51,"4,609",76,"3,273",
,"5,435",92,"7,574",29.75,13.85,-2.30,"1,100",13.85,13.90,"1,650",730.00,"1,100",28.30,29.80,"1,100",3.30,29.25,30.49,"1,351",93,966,
,"6,402",416,"3,980",29.83,10.55,-1.85,550,10.55,10.65,550,740.00,"1,100",34.85,36.00,550,3.85,36.05,30.87,436,51,"1,333",
,"13,638",725,"7,107",30.36,8.15,-1.45,"5,500",8.10,8.20,"19,250",750.00,"1,650",42.35,45.45,"2,200",4.15,43.30,30.99,336,30,"2,377",
,"5,657",208,"2,620",30.88,6.25,-1.10,"3,850",6.20,6.30,"1,650",760.00,"1,100",49.60,54.35,"2,750",5.50,52.15,33.15,84,-5,"1,100",
,"4,058",229,"2,273",31.58,4.85,-0.85,550,4.85,4.90,"3,850",770.00,"34,100",58.00,62.70,"6,050",6.25,61.65,36.14,54,5,726,
,"4,850",145,"1,786",32.51,3.85,-0.65,"1,100",3.80,3.85,"1,100",780.00,"1,650",67.50,72.00,"2,750",5.95,70.00,36.26,10,2,605,
,"3,068",-95,"1,256",33.38,3.05,-0.50,"3,300",2.95,3.10,550,790.00,"1,100",76.10,81.35,"2,200",11.20,79.70,39.03,16,3,365,
,"17,452",468,"6,303",34.14,2.40,-0.50,"4,950",2.40,2.50,"4,400",800.00,"1,650",85.80,87.95,"1,100",5.30,87.50,36.13,70,12,"2,286",
,"2,212",13,892,34.70,1.85,-0.35,"2,200",1.80,2.00,"1,650",810.00,"3,850",95.00,98.85,550,-0.95,90.75,-,2,1,161,
,"2,150",10,894,34.87,1.35,-0.35,"1,650",1.35,1.40,"4,950",820.00,550,104.70,107.90,550,2.85,104.15,-,6,2,222,
,"1,570",144,577,35.18,1.00,-0.30,"2,750",1.00,1.05,"1,100",830.00,"5,500",114.00,119.05,"3,850",-,121.00,-,-,-,102,
