CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"18,900",28.95,30.55,"18,900",140.00,"29,700",0.05,0.55,"2,700",-,-,-,-,-,-,
,-,-,-,-,-,-,"10,800",24.25,25.70,"8,100",145.00,"2,700",0.35,0.40,"2,700",0.05,0.40,42.22,9,9,145,
,-,-,-,-,-,-,"8,100",21.75,23.75,"10,800",147.50,"56,700",0.10,1.25,"18,900",-,-,-,-,-,-,
,35,-,2,43.46,20.70,-2.50,"2,700",19.85,20.70,"2,700",150.00,"8,100",0.60,0.70,"18,900",-,0.60,38.46,156,-55,578,
,1,-,-,-,18.55,-,"13,500",17.20,18.60,"8,100",152.50,"2,700",0.75,0.90,"2,700",0.25,0.90,38.71,15,12,53,
,1,-,-,-,14.10,-,"18,900",15.05,16.25,"10,800",155.00,"29,700",1.00,1.10,"5,400",0.10,1.05,36.22,50,24,206,
,-,-,-,-,-,-,"18,900",12.80,14.05,"10,800",157.50,"2,700",1.25,1.45,"2,700",0.25,1.40,35.31,20,6,57,
,125,7,40,33.43,11.55,-2.55,"2,700",11.20,11.75,"2,700",160.00,"13,500",1.75,1.85,"5,400",0.25,1.85,34.41,315,39,510,
,63,-,-,-,12.10,-,"8,100",9.05,10.10,"10,800",162.50,"5,400",2.35,2.50,"2,700",0.55,2.50,34.11,26,-2,47,
,169,-,23,32.80,8.00,-1.80,"2,700",7.55,8.20,"2,700",165.00,"8,100",3.10,3.20,"2,700",0.60,3.15,32.77,225,-55,489,
,175,-3,66,31.99,6.40,-1.95,"2,700",6.30,6.80,"18,900",167.50,"8,100",4.00,4.20,"5,400",0.70,4.10,32.38,135,-17,185,
,709,126,664,32.24,5.15,-1.60,"16,200",5.10,5.20,"8,100",170.00,"5,400",5.20,5.30,"2,700",0.90,5.25,32.09,479,10,766,
,300,-20,280,32.26,4.05,-1.40,"5,400",3.90,4.10,"2,700",172.50,"21,600",6.25,7.00,"2,700",1.25,6.70,32.50,185,-35,184,
,744,-30,709,32.07,3.10,-1.15,"2,700",3.00,3.15,"8,100",175.00,"2,700",7.95,8.45,"2,700",1.50,8.25,32.43,105,-13,406,
,183,-4,186,32.44,2.40,-1.10,"5,400",2.25,2.45,"2,700",177.50,"21,600",9.50,10.25,"2,700",-,9.05,-,-,-,145,
,"1,458",118,748,32.50,1.80,-0.80,"13,500",1.75,1.80,"10,800",180.00,"2,700",11.65,12.00,"2,700",2.10,12.25,35.47,68,3,659,
,143,9,60,32.76,1.35,-0.60,"2,700",1.25,1.40,"5,400",182.50,"10,800",13.45,14.30,"2,700",-,12.80,-,-,-,41,
,474,-4,166,32.46,0.95,-0.50,"18,900",0.90,1.05,"8,100",185.00,"8,100",15.50,16.90,"8,100",-,17.80,-,-,-,111,
,98,-,4,34.07,0.80,-0.30,"5,400",0.70,0.80,"5,400",187.50,"8,100",17.75,19.15,"13,500",-,-,-,-,-,-,
,945,15,413,34.50,0.60,-0.25,"27,000",0.55,0.60,"29,700",190.00,"8,100",20.20,21.15,"5,400",-0.20,17.85,-,8,-,221,
,83,-1,4,35.81,0.50,-0.05,"5,400",0.40,0.50,"5,400",192.50,"10,800",22.60,23.80,"13,500",-,-,-,-,-,-,
,260,8,151,35.68,0.35,-0.15,"1,91,700",0.30,0.40,"51,300",195.00,"2,700",24.85,25.70,"2,700",1.65,25.20,32.54,1,1,67,
,70,-,-,-,0.40,-,"70,200",0.20,1.00,"18,900",197.50,"10,800",27.30,29.05,"18,900",-,22.00,-,-,-,4,
,889,5,284,36.69,0.20,-0.10,"2,88,900",0.15,0.25,"2,10,600",200.00,"10,800",29.80,31.05,"8,100",1.25,29.00,-,1,1,671,
,12,-,-,-,0.30,-,"8,100",0.15,0.30,"2,700",202.50,-,-,-,-,-,-,-,-,-,-,-
,103,-,4,44.19,0.30,0.10,"1,62,000",0.10,0.20,"32,400",205.00,"2,700",34.65,35.50,"10,800",1.00,35.35,47.28,1,-1,21,
,206,4,14,45.42,0.20,-,"2,700",0.15,0.20,"32,400",210.00,"10,800",39.60,41.05,"2,700",-,36.95,-,-,-,73,
,482,-15,28,44.68,0.10,-,"4,56,300",0.05,0.10,"1,16,100",215.00,"10,800",44.55,45.40,"2,700",-,42.30,-,-,-,490,
