CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"4,000",145.70,151.85,"4,000",600.00,"3,000",0.75,1.00,"3,000",0.10,0.90,49.12,100,35,232,
,-,-,-,-,-,-,"7,000",126.20,133.65,"3,000",620.00,"4,000",1.00,3.00,"1,000",-0.05,1.10,44.49,337,37,122,
,1,-,-,-,112.00,-,"3,000",106.65,115.45,"3,000",640.00,"1,000",0.85,4.70,"1,000",-0.10,1.45,40.37,23,-3,43,
,-,-,-,-,-,-,"4,000",96.80,106.30,"4,000",650.00,"3,000",1.50,5.05,"3,000",-,1.75,-,-,-,37,
,-,-,-,-,-,-,"7,000",87.30,93.40,"4,000",660.00,"30,000",1.70,2.30,"1,000",0.05,2.05,36.66,64,11,65,
,-,-,-,-,-,-,"5,000",77.85,85.60,"3,000",670.00,"1,000",1.60,5.00,"30,000",0.55,3.55,38.44,10,2,40,
,3,2,3,31.57,71.40,3.40,"7,000",68.75,74.40,"2,000",680.00,"1,000",3.10,3.75,"1,000",-0.35,3.50,34.54,80,20,144,
,5,-,-,-,69.80,-,"4,000",60.05,66.30,"3,000",690.00,"1,000",4.35,4.75,"1,000",0.15,4.75,33.97,16,-6,45,
,5,1,1,52.68,65.90,9.10,"7,000",51.05,58.95,"1,000",700.00,"1,000",5.15,7.60,"1,000",-0.80,5.90,32.44,84,7,262,
,6,3,3,31.24,46.55,-2.20,"4,000",43.40,51.00,"3,000",710.00,"1,000",7.10,9.70,"1,000",-0.50,8.05,32.21,42,-11,66,
,2,-,2,45.25,48.25,6.90,"4,000",36.15,43.45,"3,000",720.00,"1,000",9.00,12.45,"1,000",-0.50,10.50,31.57,67,3,51,
,12,1,8,33.63,34.45,1.15,"3,000",28.90,34.65,"1,000",730.00,"1,000",11.70,16.10,"1,000",1.05,13.45,30.83,38,-4,108,
,103,6,19,28.62,25.20,-2.75,"1,000",25.20,27.50,"1,000",740.00,"25,000",15.25,20.60,"17,000",-0.70,17.25,30.41,50,10,120,
,336,28,421,29.97,21.00,-2.40,"1,000",19.50,21.50,"1,000",750.00,"19,000",19.35,24.50,"1,000",-0.30,22.15,30.54,325,74,299,
,189,1,245,29.99,16.60,-1.80,"1,000",15.70,18.30,"1,000",760.00,"1,000",25.35,32.45,"2,000",3.85,28.05,31.07,6,-1,91,
,116,17,204,29.55,12.60,-1.90,"30,000",10.90,15.25,"20,000",770.00,"1,000",30.30,37.20,"2,000",5.10,36.85,34.88,38,28,86,
,106,-3,232,29.91,9.80,-1.40,"1,000",9.50,10.65,"1,000",780.00,"3,000",38.50,43.40,"2,000",-,40.30,-,-,-,34,
,76,1,54,30.19,7.50,-1.20,"30,000",6.25,8.45,"1,000",790.00,"1,000",45.85,52.05,"2,000",2.50,50.10,33.80,3,3,14,
,273,-12,288,30.41,5.65,-1.20,"1,000",5.55,5.95,"1,000",800.00,"5,000",53.90,59.05,"1,000",4.30,58.05,34.18,7,-,108,
,33,2,13,30.12,4.00,-1.50,"1,000",2.75,7.00,"1,000",810.00,"7,000",61.00,68.50,"3,000",43.15,66.30,34.38,4,4,4,
,134,-3,62,31.11,3.20,-0.90,"1,000",3.40,3.60,"1,000",820.00,"4,000",71.55,77.10,"1,000",-1.35,68.40,-,9,4,26,
,60,5,32,32.32,2.65,-0.70,"1,000",2.60,2.85,"1,000",830.00,"4,000",80.75,85.90,"1,000",7.60,86.70,42.08,2,1,9,
,117,22,51,32.72,2.00,-0.50,"1,000",1.75,2.70,"1,000",840.00,"4,000",90.25,95.85,"4,000",-,89.10,-,-,-,2,
,232,9,54,33.32,1.55,-0.55,"1,000",1.70,1.95,"5,000",850.00,"4,000",99.65,106.30,"5,000",-,98.90,-,-,-,2,
,76,23,26,35.46,1.50,-0.20,"1,000",1.45,1.65,"1,000",860.00,"4,000",109.25,115.60,"3,000",-,105.00,-,-,-,3,
,60,14,18,36.14,1.20,-0.30,"1,000",0.95,1.95,"2,000",870.00,-,-,-,-,-,-,-,-,-,-,-
,251,80,353,36.72,0.95,-0.35,"2,000",1.10,1.20,"1,000",880.00,"3,000",128.90,132.80,"1,000",0.70,130.20,29.01,4,-,6,
,70,-8,8,39.49,1.05,-,"2,000",0.65,2.90,"2,000",890.00,-,-,-,-,-,-,-,-,-,-,-
,228,-22,114,38.81,0.70,-0.25,"2,000",0.70,0.80,"5,000",900.00,"3,000",148.45,155.05,"3,000",-,147.50,-,-,-,4,
,43,-,1,40.73,0.70,-0.10,"1,000",0.45,0.95,"2,000",910.00,-,-,-,-,-,-,-,-,-,-,-
,46,22,32,42.13,0.65,-0.05,"6,000",0.50,0.80,"2,000",920.00,-,-,-,-,-,-,-,-,-,-,-
,29,-,-,-,0.60,-,"14,000",0.25,0.85,"2,000",930.00,-,-,-,-,-,-,-,-,-,-,-
,16,-,-,-,0.75,-,"7,000",0.20,1.20,"4,000",940.00,-,-,-,-,-,-,-,-,-,-,-
,60,-2,4,45.77,0.50,-,"1,000",0.35,0.80,"3,000",950.00,-,-,-,-,-,-,-,-,-,-,-
,27,-,-,-,0.45,-,"2,000",0.35,1.00,"8,000",960.00,-,-,-,-,-,-,-,-,-,-,-
