CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,350,228.45,239.85,"1,050","1,400.00",350,13.60,14.50,350,4.35,13.75,56.62,104,61,71,
,-,-,-,-,-,-,350,186.00,197.05,"1,400","1,450.00",350,20.20,23.95,700,22.85,23.00,56.82,8,5,6,
,1,1,1,86.17,201.05,50.65,350,150.95,167.45,"1,050","1,500.00",350,32.05,44.05,700,14.35,32.50,54.14,87,16,32,
,2,2,2,59.38,133.30,13.75,350,113.80,133.60,"1,400","1,550.00",700,47.35,57.90,700,19.75,49.00,54.14,66,-3,33,
,14,11,22,49.46,90.25,-84.75,350,90.05,97.10,350,"1,600.00","1,050",66.60,71.90,350,31.10,71.00,54.68,197,23,43,
,21,21,54,48.83,65.35,-5.80,350,62.00,76.15,350,"1,650.00","4,200",88.20,115.95,350,31.90,90.40,50.46,45,8,17,
,123,63,188,50.57,49.00,-38.40,350,47.35,52.95,"3,500","1,700.00",350,122.20,138.00,350,43.80,124.95,53.07,57,-2,78,
,59,16,79,50.80,34.65,-32.80,"10,500",30.85,41.45,350,"1,750.00","1,050",156.90,173.60,"3,500",-18.45,162.15,54.87,7,3,3,
,200,40,279,51.40,24.40,-25.00,350,22.10,24.00,350,"1,800.00","1,050",196.35,211.75,350,32.80,164.30,-,4,-,5,
,17,8,63,56.43,21.45,-16.10,350,15.05,21.35,350,"1,850.00","1,400",239.75,256.40,"1,050",-,-,-,-,-,-,
,93,41,375,54.86,13.50,-11.70,"1,400",12.10,13.90,"1,050","1,900.00","1,400",286.90,299.15,"1,050",-,-,-,-,-,-,
,33,29,64,55.43,9.40,-11.65,350,8.20,10.35,350,"1,950.00","1,400",332.80,344.05,"1,400",-,-,-,-,-,-,
,61,5,48,56.92,7.00,-7.00,350,6.20,6.50,700,"2,000.00","1,050",378.80,391.80,"1,050",-,-,-,-,-,-,
