CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,2,2,-,28.05,-10.45,"4,000",27.60,28.65,"16,000",80.00,"12,000",0.10,0.15,"2,72,000",-,0.10,62.46,12,2,67,
,-,-,-,-,23.20,-,"48,000",22.70,23.65,"28,000",85.00,"88,000",0.15,0.25,"12,000",-,0.20,58.12,28,-9,219,
,-,-,-,-,-,-,"28,000",20.20,21.75,"16,000",87.50,"20,000",0.10,0.75,"24,000",-0.05,0.30,-,-,-,9,
,13,-,10,57.76,19.35,-0.55,"12,000",18.05,18.80,"12,000",90.00,"48,000",0.35,0.40,"28,000",0.05,0.40,54.14,123,13,474,
,-,-,-,-,-,-,"12,000",15.55,16.60,"12,000",92.50,"12,000",0.45,0.55,"12,000",-0.05,0.50,50.66,31,-1,152,
,53,-,-,-,15.30,-,"20,000",13.35,14.20,"4,000",95.00,"60,000",0.70,0.80,"28,000",-,0.75,49.69,292,-3,467,
,40,-,1,-,11.10,-1.05,"4,000",11.45,12.00,"4,000",97.50,"24,000",1.00,1.10,"24,000",0.05,1.05,47.96,322,-36,195,
,395,-7,83,36.12,9.65,-0.60,"4,000",9.45,9.85,"4,000",100.00,"40,000",1.45,1.55,"32,000",-,1.45,46.20,818,54,"1,279",
,223,1,39,38.73,7.90,-0.35,"4,000",7.60,8.15,"24,000",102.50,"16,000",2.05,2.20,"16,000",0.10,2.15,46.45,554,33,319,
,878,-20,379,37.65,6.10,-0.50,"16,000",5.95,6.25,"20,000",105.00,"12,000",2.90,3.00,"16,000",0.15,2.95,45.68,853,42,934,
,579,65,653,38.34,4.70,-0.35,"12,000",4.60,4.70,"12,000",107.50,"12,000",3.95,4.05,"8,000",0.20,3.95,44.98,720,103,598,
,"1,948",-81,"1,697",38.01,3.45,-0.40,"8,000",3.45,3.55,"44,000",110.00,"8,000",5.10,5.45,"4,000",0.30,5.35,46.13,470,-43,618,
,382,23,445,38.75,2.55,-0.30,"12,000",2.50,2.60,"16,000",112.50,"4,000",6.60,7.00,"4,000",0.30,6.80,45.80,78,31,208,
,"1,093",63,786,38.83,1.80,-0.25,"20,000",1.80,1.90,"28,000",115.00,"4,000",8.35,8.80,"16,000",1.05,9.30,54.43,60,-2,187,
,189,-34,501,39.08,1.25,-0.20,"20,000",1.25,1.35,"20,000",117.50,"12,000",10.10,11.05,"16,000",-,16.20,-,-,-,5,
,"1,502",4,621,39.32,0.85,-0.15,"40,000",0.85,0.95,"48,000",120.00,"4,000",12.35,12.85,"16,000",1.15,13.20,57.11,8,1,163,
,146,18,140,40.21,0.60,-0.10,"24,000",0.55,0.65,"24,000",122.50,"16,000",14.40,15.30,"16,000",-5.40,15.60,62.29,1,1,8,
,619,29,496,41.73,0.45,-0.05,"1,40,000",0.40,0.50,"1,04,000",125.00,"4,000",16.80,17.40,"16,000",0.80,17.25,56.59,7,2,299,
,77,36,38,42.01,0.30,-0.05,"8,000",0.25,0.35,"4,000",127.50,"16,000",19.10,20.05,"12,000",-,21.15,-,-,-,10,
,507,-46,175,42.39,0.20,-0.05,"60,000",0.20,0.25,"4,32,000",130.00,"12,000",21.55,22.20,"16,000",1.15,22.05,63.72,6,-,309,
,928,-3,24,44.08,0.10,-0.05,"15,44,000",0.05,0.10,"88,000",135.00,"8,000",26.25,27.00,"16,000",-1.75,26.85,69.41,4,-,957,
,46,-,1,56.14,0.05,-,-,-,0.10,"1,40,000",150.00,-,-,-,-,-,-,-,-,-,-,-
