CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,600,654.35,685.70,"1,050","2,700.00",150,0.30,5.95,"6,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,350",556.80,581.05,"1,350","2,800.00",300,1.50,1.75,150,-0.10,1.70,36.91,41,-5,919,
,-,-,-,-,-,-,450,505.25,542.05,600,"2,850.00",150,0.45,11.95,"6,000",-,-,-,-,-,-,
,-,-,-,-,444.00,-,450,458.25,481.80,"1,350","2,900.00","2,250",2.30,2.70,750,-0.05,2.55,32.89,458,-43,"1,624",
,-,-,-,-,-,-,450,408.35,435.60,450,"2,950.00",150,3.00,3.90,150,-0.25,3.65,31.69,464,60,355,
,83,3,13,-,367.95,-35.25,150,374.20,382.10,750,"3,000.00",150,5.50,5.65,450,-0.10,5.60,30.93,"1,399",-24,"1,648",
,16,-,-,-,269.10,-,600,318.30,339.55,600,"3,050.00",150,7.55,8.50,150,0.30,8.20,29.94,811,115,699,
,250,-1,14,15.55,274.15,-36.40,450,277.80,288.15,450,"3,100.00",150,11.45,11.60,150,0.75,11.60,28.75,"1,446",77,"1,746",
,66,-,-,-,274.65,-,450,228.05,247.75,600,"3,150.00",300,13.25,16.20,150,1.40,16.15,27.43,985,166,739,
,347,-9,172,24.34,192.95,-26.10,300,192.75,196.40,150,"3,200.00",300,21.25,22.05,300,1.60,21.90,25.86,"2,977",190,"2,249",
,604,12,148,23.14,151.50,-27.60,150,149.55,156.70,150,"3,250.00",150,29.00,31.60,150,3.05,31.00,24.74,"2,365",127,"3,734",
,"1,177",114,"1,728",22.67,115.50,-24.95,300,114.35,116.15,"1,350","3,300.00",300,42.00,43.20,150,4.35,43.00,23.47,"5,274",243,"4,667",
,"1,851",923,"4,130",22.27,84.50,-22.35,"1,350",84.40,84.60,150,"3,350.00",450,61.95,62.50,300,7.20,62.00,23.10,"4,202",167,"1,532",
,"5,111","1,170","9,825",22.12,59.65,-18.75,300,59.20,59.65,150,"3,400.00","1,050",86.75,88.00,150,11.00,87.05,22.99,"3,046",83,"3,164",
,"3,487",775,"5,262",23.06,43.50,-12.30,300,41.10,43.50,150,"3,450.00",150,116.15,119.75,150,14.95,118.20,23.19,"1,076",-198,"1,787",
,"7,399","1,242","7,469",22.79,28.35,-10.25,150,28.05,28.40,150,"3,500.00",150,152.55,155.00,300,19.40,155.15,23.84,697,-19,"3,900",
,"5,042",759,"4,288",23.50,19.65,-7.00,"3,300",19.55,19.65,"4,500","3,550.00","1,050",187.60,208.10,450,25.05,199.55,26.19,64,28,"1,128",
,"10,139",879,"5,425",24.33,13.75,-4.55,150,13.70,13.80,300,"3,600.00",150,234.75,249.80,300,25.15,239.45,25.54,63,-,"2,150",
,"3,212",158,"1,701",25.26,9.80,-3.15,750,9.70,10.00,150,"3,650.00",300,280.85,291.65,150,23.35,281.85,24.47,9,5,468,
,"8,813",377,"3,204",26.24,7.10,-2.20,300,7.10,7.40,600,"3,700.00",300,328.15,335.80,750,26.20,332.40,28.18,8,3,"1,085",
,"3,108",154,"1,520",26.99,5.00,-1.40,150,4.95,5.10,300,"3,750.00",600,372.50,392.25,150,47.20,372.50,-,1,-,210,
,"4,206",50,"2,416",28.31,3.95,-0.85,450,3.75,4.00,300,"3,800.00",150,423.05,436.20,150,26.90,428.00,30.42,4,-2,427,
,962,-13,346,29.40,3.05,-0.65,"1,800",2.95,3.30,150,"3,850.00",150,468.20,491.15,150,-,394.80,-,-,-,97,
,"2,084",47,684,30.81,2.55,-0.45,150,2.35,3.25,900,"3,900.00",300,520.35,534.10,150,-,459.45,-,-,-,415,
,575,-43,99,32.18,2.15,-0.35,150,1.95,2.25,150,"3,950.00",600,566.70,591.85,450,-,380.50,-,-,-,2,
,"4,572",-314,"1,285",33.15,1.70,-0.40,450,1.75,1.85,600,"4,000.00",150,619.05,634.20,150,88.00,629.95,44.04,2,-,413,
,350,-9,23,33.73,1.25,-0.60,150,1.30,1.50,900,"4,050.00",-,-,-,-,-,-,-,-,-,-,-
,597,2,29,35.48,1.20,-0.55,150,1.15,1.35,150,"4,100.00",600,715.05,739.35,150,-,619.90,-,-,-,72,
,580,1,28,36.73,0.70,-0.35,"1,200",0.65,0.85,150,"4,200.00",600,814.20,838.35,"1,050",-,772.75,-,-,-,122,
,785,-4,30,39.47,0.60,-0.20,450,0.60,0.70,"1,800","4,300.00","1,050",913.35,937.90,450,-,850.00,-,-,-,2,
