CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"7,500",152.35,158.65,"2,250",340.00,"37,500",0.05,2.45,"5,250",-,-,-,-,-,-,
,-,-,-,-,-,-,"5,250",132.50,138.70,"3,000",360.00,"1,500",0.10,2.45,"5,250",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,000",113.60,117.30,"2,250",380.00,"1,500",0.65,0.80,"3,000",-0.05,0.65,58.06,4,-1,108,
,-,-,-,-,-,-,"5,250",103.10,109.80,"3,000",390.00,"1,500",0.15,3.45,"5,250",-,-,-,-,-,-,
,22,-,-,-,100.75,-,750,95.20,98.10,"3,000",400.00,750,1.25,1.75,750,-,1.25,54.76,19,-7,364,
,-,-,-,-,-,-,"2,250",83.75,89.65,"2,250",410.00,"1,500",1.00,3.40,750,-0.05,1.55,51.93,10,-5,35,
,60,-,-,-,81.55,-,750,76.00,78.60,750,420.00,"1,500",2.05,2.15,750,-0.20,2.00,49.53,436,-169,172,
,1,-,-,-,80.55,-,"3,750",65.80,69.80,"3,750",430.00,750,2.55,2.80,750,-0.30,2.65,47.45,129,30,252,
,113,-1,26,44.63,58.65,-0.50,750,58.00,60.15,750,440.00,750,3.55,3.75,750,-0.35,3.70,46.17,87,-25,325,
,307,-6,21,41.51,49.50,-1.65,750,49.15,51.20,750,450.00,"1,500",4.80,4.95,750,-0.45,4.85,44.05,586,168,487,
,278,-1,5,43.56,42.35,-0.40,750,40.80,43.30,750,460.00,"1,500",6.30,6.55,750,-0.55,6.65,42.81,230,-22,227,
,245,-5,33,40.74,34.15,-1.10,750,33.25,34.60,"1,500",470.00,750,8.70,9.00,750,-1.35,8.60,40.60,266,9,376,
,271,-23,129,39.97,27.35,-1.20,750,25.85,28.80,750,480.00,750,11.05,12.75,750,-0.90,12.05,40.55,687,-140,331,
,503,-5,507,38.85,21.15,-1.50,750,21.05,22.85,750,490.00,750,14.80,16.35,750,-1.40,15.80,39.41,655,-8,427,
,"1,700",-216,"1,871",39.04,16.40,-1.40,"1,500",16.25,16.85,"1,500",500.00,750,20.05,21.85,750,-1.20,20.80,39.19,465,102,556,
,321,-64,567,38.62,12.20,-1.50,750,12.05,13.45,750,510.00,"2,250",25.40,28.45,750,-1.45,26.75,39.22,43,-6,73,
,906,34,808,39.00,9.15,-1.30,750,9.20,9.55,750,520.00,"5,250",32.30,34.70,750,-1.00,33.10,38.37,9,-3,116,
,526,-20,330,39.74,6.90,-1.30,750,6.10,7.85,750,530.00,"3,000",39.55,43.20,"5,250",-,42.65,-,-,-,37,
,234,-,153,40.56,5.20,-0.80,750,5.05,5.30,"1,500",540.00,"2,250",47.95,51.55,"2,250",-,47.25,-,-,-,60,
,620,45,503,41.35,3.90,-0.70,750,3.80,3.95,750,550.00,750,56.70,59.30,750,-,61.80,-,-,-,84,
,359,63,218,41.85,2.85,-0.60,"3,000",2.85,2.95,750,560.00,750,65.65,68.15,"1,500",0.15,65.15,33.39,1,-,310,
,146,20,63,43.24,2.25,-0.40,750,2.10,2.30,"1,500",570.00,"2,250",74.80,77.70,"1,500",-10.65,73.20,-,1,-,8,
,220,-12,72,44.65,1.80,-0.25,"5,250",1.60,1.80,750,580.00,750,84.50,87.70,750,-,81.25,-,-,-,2,
,303,-8,125,46.75,1.10,-0.20,"2,250",1.10,1.15,750,600.00,750,103.45,106.35,750,-,155.00,-,-,-,59,
,108,-1,7,46.01,0.70,-0.15,"1,500",0.65,2.00,"3,750",610.00,"5,250",113.15,116.95,"3,750",-,116.95,-,-,-,1,
,6,-,-,-,0.65,-,750,0.25,0.90,750,620.00,"3,000",122.90,127.00,"3,750",-,112.95,-,-,-,2,
,2,-,-,-,0.90,-,750,0.20,2.50,"3,000",630.00,-,-,-,-,-,-,-,-,-,-,-
,9,-,-,-,0.50,-,750,0.20,1.70,"3,000",640.00,"3,000",142.75,147.55,"3,750",-,144.90,-,-,-,5,
,137,-4,24,52.57,0.40,-0.10,"5,250",0.40,0.55,750,650.00,"2,250",152.65,157.15,"12,750",-,153.75,-,-,-,6,
,15,3,19,55.05,0.40,-0.25,"8,250",0.35,2.30,"2,250",660.00,-,-,-,-,-,-,-,-,-,-,-
,1,-,-,-,35.35,-,"1,500",0.10,2.10,"1,500",670.00,-,-,-,-,-,-,-,-,-,-,-
,15,-,-,-,0.40,-,-,-,0.75,750,700.00,"1,500",191.70,205.05,"3,000",-,201.45,-,-,-,46,
