CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,125.00,"5,000",0.10,0.90,"10,000",-,0.20,-,-,-,9,
-,-,-,-,-,-,-,-,-,-,-,130.00,"12,500",0.20,0.30,"2,500",-,0.30,60.94,6,-,116,
-,-,-,-,-,-,-,-,-,-,-,135.00,"2,500",0.25,0.90,"2,500",-,0.40,-,-,-,22,
,34,-,1,-,28.20,-3.80,"2,500",28.65,29.60,"10,000",140.00,"5,000",0.40,0.50,"10,000",0.05,0.50,51.42,65,-12,176,
,4,-,-,-,24.55,-,"12,500",23.65,25.05,"25,000",145.00,"2,500",0.60,0.70,"2,500",0.10,0.65,46.55,25,4,172,
,-,-,-,-,-,-,"10,000",20.95,23.50,"10,000",147.50,"2,500",0.20,1.90,"17,500",-,-,-,-,-,-,
,118,1,22,42.19,20.15,-2.10,"2,500",19.50,20.35,"5,000",150.00,"1,05,000",1.05,1.15,"2,500",0.20,1.15,45.41,273,73,442,
,16,-,2,30.27,17.15,0.45,"17,500",17.10,18.40,"32,500",152.50,"2,500",1.35,1.45,"2,500",0.30,1.45,44.31,27,-2,42,
,172,-14,49,40.84,15.85,-1.85,"2,500",15.35,16.20,"7,500",155.00,"2,500",1.80,1.95,"2,500",0.45,1.90,43.97,125,29,363,
,24,-,-,-,15.65,-,"7,500",12.25,14.95,"2,500",157.50,"42,500",1.25,3.35,"7,500",0.40,2.25,41.96,6,-,39,
,396,-6,63,37.40,11.65,-2.20,"2,500",11.60,12.25,"7,500",160.00,"2,500",2.90,3.05,"5,000",0.65,3.00,42.42,262,3,354,
,15,-,-,-,12.70,-,"7,500",8.50,11.45,"7,500",162.50,"2,500",2.45,5.15,"7,500",-0.10,2.95,-,-,-,48,
,266,-5,154,38.94,8.60,-1.70,"2,500",8.45,8.90,"5,000",165.00,"2,500",4.65,4.75,"2,500",0.90,4.75,42.12,269,30,236,
,63,8,91,37.95,7.05,-1.95,"5,000",6.50,8.20,"5,000",167.50,"75,000",5.20,6.65,"2,500",0.95,5.80,41.73,52,-2,91,
,"1,029",97,"1,071",38.49,5.90,-1.45,"5,000",5.90,6.00,"2,500",170.00,"7,500",6.65,7.25,"5,000",1.25,7.10,42.00,339,135,544,
,251,168,962,38.99,4.90,-1.30,"7,500",4.90,5.05,"5,000",172.50,"12,500",8.10,9.15,"17,500",1.45,8.65,42.93,86,6,31,
,487,64,639,39.52,4.05,-1.15,"7,500",3.95,4.10,"2,500",175.00,"2,500",9.75,10.45,"5,000",1.65,10.25,43.35,29,-8,58,
,36,-1,34,39.83,3.30,-1.05,"2,500",3.25,3.40,"2,500",177.50,"7,500",11.45,12.45,"5,000",1.80,11.95,43.61,7,1,32,
,"1,641",222,"1,119",40.36,2.70,-0.85,"5,000",2.65,2.80,"12,500",180.00,"7,500",13.35,14.10,"2,500",1.80,13.80,44.13,34,-1,119,
,59,-,-,-,2.80,-0.10,"7,500",1.10,3.20,"7,500",182.50,"2,500",14.40,17.10,"2,500",-,13.60,-,-,-,7,
,307,44,290,41.06,1.75,-0.60,"22,500",1.65,1.75,"10,000",185.00,"2,500",17.30,17.90,"5,000",2.70,17.90,46.17,14,-7,13,
,15,13,16,41.43,1.40,-0.65,"7,500",0.80,2.25,"2,500",187.50,"17,500",19.05,21.05,"2,500",4.55,21.00,55.11,22,11,15,
,489,-45,570,42.18,1.15,-0.35,"20,000",1.00,1.15,"7,500",190.00,"7,500",21.70,22.40,"10,000",2.65,22.10,46.69,29,10,135,
,-,-,-,-,-,-,"2,500",0.05,1.70,"7,500",192.50,"10,000",23.25,25.85,"17,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"25,000",0.10,1.70,"7,500",195.00,"7,500",25.80,28.25,"17,500",-,-,-,-,-,-,
,-,-1,1,44.49,0.65,-0.15,"2,500",0.45,1.60,"2,500",197.50,"25,000",28.20,30.65,"42,500",-,-,-,-,-,-,
