CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,110.00,"13,386",0.05,0.15,"4,462",0.05,0.15,65.05,1,-,18,
-,-,-,-,-,-,-,-,-,-,-,115.00,"80,316",0.05,0.15,"4,462",-,0.15,-,-,-,13,
,3,-,-,-,24.25,-,"13,386",29.00,30.75,"44,620",120.00,"22,310",0.15,0.20,"4,462",-,0.15,49.40,2,-1,95,
,7,-,-,-,23.95,-,"13,386",24.10,25.85,"31,234",125.00,"22,310",0.20,0.30,"8,924",0.05,0.25,45.88,4,3,51,
,6,-,-,-,17.55,-,"13,386",21.75,23.50,"44,620",127.50,"8,924",0.15,0.45,"8,924",-0.10,0.30,43.46,3,1,64,
,18,-,-,-,22.85,-,"44,620",19.35,21.10,"13,386",130.00,"4,462",0.50,0.55,"8,924",0.15,0.55,45.20,59,-23,163,
,1,-,-,-,18.95,-,"13,386",16.90,19.45,"13,386",132.50,"22,310",0.25,1.45,"31,234",-,0.55,-,-,-,19,
,39,1,8,-,15.95,-2.40,"4,462",15.90,16.55,"8,924",135.00,"4,462",0.95,1.00,"13,386",0.20,0.95,42.49,156,12,239,
,12,2,5,-,13.55,-1.15,"31,234",12.95,14.40,"4,462",137.50,"4,462",1.20,1.40,"4,462",0.30,1.30,41.84,43,-5,64,
,470,22,66,28.24,11.90,-2.00,"4,462",11.70,12.35,"4,462",140.00,"17,848",1.65,1.75,"4,462",0.35,1.70,40.70,265,6,412,
,27,4,32,28.58,9.85,-2.00,"49,082",9.00,10.35,"8,924",142.50,"4,462",2.25,2.35,"4,462",0.50,2.30,40.40,47,5,68,
,261,-15,55,28.12,7.90,-2.05,"4,462",8.00,8.50,"8,924",145.00,"4,462",2.90,3.05,"8,924",0.75,3.10,40.55,213,-18,280,
,74,7,78,28.46,6.25,-1.90,"44,620",5.85,6.95,"31,234",147.50,"4,462",3.80,3.90,"8,924",0.85,4.00,40.21,144,1,118,
,909,12,765,30.99,5.15,-1.40,"8,924",5.10,5.20,"4,462",150.00,"4,462",4.90,5.05,"8,924",1.05,5.10,40.12,562,18,590,
,117,-2,258,30.75,3.90,-1.30,"4,462",3.85,4.00,"4,462",152.50,"17,848",5.80,6.45,"4,462",1.45,6.35,39.90,145,-17,41,
,510,9,682,31.11,2.95,-1.10,"4,462",2.90,3.05,"13,386",155.00,"4,462",7.40,7.85,"8,924",1.60,8.00,41.31,175,9,82,
,74,-10,224,31.11,2.15,-0.85,"4,462",2.10,2.25,"8,924",157.50,"4,462",9.10,9.70,"4,462",1.95,9.85,43.13,28,9,30,
,624,17,732,30.85,1.50,-0.75,"22,310",1.45,1.60,"35,696",160.00,"44,620",10.80,11.50,"8,924",2.15,11.60,43.30,84,-5,234,
,77,8,57,32.55,1.20,-0.40,"4,462",1.05,1.20,"4,462",162.50,"44,620",12.85,13.85,"22,310",2.55,13.75,45.78,25,2,12,
,873,-18,656,31.52,0.75,-0.40,"31,234",0.75,0.85,"49,082",165.00,"75,854",15.00,15.70,"8,924",2.30,15.75,46.34,39,-2,576,
,35,-5,10,33.08,0.60,-0.25,"8,924",0.50,0.65,"4,462",167.50,"13,386",17.35,19.10,"31,234",3.65,18.30,51.37,9,5,7,
,266,-33,219,33.97,0.45,-0.20,"17,848",0.40,0.50,"26,772",170.00,"44,620",19.65,20.65,"8,924",2.45,19.80,45.33,11,-2,5,
,5,5,6,38.03,0.35,-3.25,"4,462",0.30,0.40,"66,930",175.00,"13,386",24.55,26.00,"13,386",-,-,-,-,-,-,
