CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"6,125",127.55,131.75,"2,625",440.00,875,0.20,0.80,875,-,-,-,-,-,-,
,-,-,-,-,-,-,"8,750",107.35,112.30,"2,625",460.00,"10,500",0.50,0.70,875,0.15,0.50,45.53,54,23,451,
,2,-,-,-,79.20,-,"6,125",98.05,105.50,"2,625",470.00,"6,125",0.30,2.55,"35,000",-0.05,1.00,-,-,-,48,
,-,-,-,-,67.00,-,"4,375",88.35,92.55,"3,500",480.00,"1,750",1.30,1.45,"1,750",0.25,1.40,45.84,100,50,118,
,4,1,1,39.26,81.55,-16.20,875,79.50,83.35,"2,625",490.00,875,2.00,2.20,875,0.10,2.10,45.50,47,-6,27,
,741,-180,248,47.63,74.20,-13.80,"2,625",71.20,74.05,"4,375",500.00,"13,125",3.00,3.15,875,0.65,3.05,45.09,269,15,268,
,4,-,-,-,67.85,-,"1,750",61.35,65.45,"2,625",510.00,875,4.10,4.35,875,1.05,4.25,44.43,70,2,52,
,12,-1,12,48.74,58.25,-19.40,"6,125",53.15,57.40,"6,125",520.00,"27,125",4.90,6.20,875,1.75,5.90,44.02,287,-4,218,
,47,-3,29,39.81,47.20,-17.85,"1,750",44.00,49.35,"2,625",530.00,"26,250",6.65,8.95,875,1.85,7.55,42.45,178,27,189,
,99,-17,38,39.86,39.90,-14.25,"6,125",38.10,41.95,"2,625",540.00,875,9.95,11.45,875,2.75,10.35,42.52,250,-11,149,
,157,-10,65,39.66,33.15,-12.60,"2,625",31.45,35.30,875,550.00,"1,750",13.10,14.60,"1,750",4.00,14.00,43.00,259,19,310,
,70,-20,102,39.85,27.30,-11.65,875,27.05,29.30,"2,625",560.00,"1,750",16.05,18.50,875,5.15,18.20,43.20,369,10,246,
,153,-,310,39.79,22.05,-11.20,"1,750",21.45,23.15,875,570.00,875,21.30,22.70,875,6.00,22.65,42.59,534,19,181,
,191,25,306,40.23,17.80,-9.00,875,17.55,18.80,875,580.00,"3,500",26.25,29.50,875,6.95,28.10,42.60,200,18,144,
,207,49,269,40.32,14.05,-7.50,875,13.05,15.00,875,590.00,"1,750",32.30,35.95,875,8.45,34.40,42.97,59,-10,46,
,510,47,515,40.34,10.90,-6.95,875,10.80,11.00,"6,125",600.00,"2,625",39.95,43.20,875,9.45,41.40,43.57,72,8,125,
,74,5,62,40.28,8.30,-6.00,875,8.40,9.30,875,610.00,"2,625",46.95,51.35,875,12.60,49.50,45.44,21,3,20,
,225,76,340,41.19,6.60,-4.90,875,6.40,6.90,875,620.00,"1,750",55.15,58.45,875,12.95,55.40,41.20,8,1,15,
,276,45,285,41.23,4.95,-4.25,"1,750",4.90,5.10,"1,750",630.00,"1,750",63.70,67.40,"2,625",15.10,65.10,45.13,35,2,83,
,212,-147,534,41.56,3.75,-3.30,875,3.65,3.85,"1,750",640.00,"1,750",72.55,75.80,"6,125",11.30,72.70,42.46,33,4,18,
,450,-71,386,42.00,2.85,-2.85,875,2.85,3.05,"1,750",650.00,"2,625",81.05,85.40,"13,125",17.30,83.00,47.49,7,5,8,
,103,-24,151,42.87,2.25,-2.10,875,2.15,2.30,875,660.00,"1,750",90.35,94.55,"2,625",17.80,92.15,48.39,5,2,10,
,30,-27,58,43.83,1.80,-1.60,875,1.75,1.85,875,670.00,-,-,-,-,-,-,-,-,-,-,-
,48,3,36,46.61,1.75,-1.05,875,1.25,1.50,875,680.00,"2,625",109.20,113.55,"4,375",-,-,-,-,-,-,
,32,-,-,-,2.00,-,"4,375",0.40,2.40,"6,125",690.00,-,-,-,-,-,-,-,-,-,-,-
,110,-42,200,45.27,0.80,-0.85,"1,750",0.80,0.95,"1,750",700.00,-,-,-,-,-,-,-,-,-,-,-
,52,-,-,-,1.65,0.15,875,0.20,1.50,"4,375",710.00,-,-,-,-,-,-,-,-,-,-,-
,44,23,103,49.77,0.75,-0.95,875,0.45,0.90,875,720.00,-,-,-,-,-,-,-,-,-,-,-
,1,-,-,-,1.05,-0.50,875,0.10,2.90,"7,000",730.00,-,-,-,-,-,-,-,-,-,-,-
,25,-,7,54.81,0.45,-0.05,"1,750",0.25,0.50,"10,500",760.00,-,-,-,-,-,-,-,-,-,-,-
