CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"5,425",152.30,160.45,"3,875",480.00,775,0.15,3.85,"5,425",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,875",133.15,138.70,"3,100",500.00,775,0.30,1.50,"1,550",-,1.05,-,-,-,25,
,-,-,-,-,-,-,"5,425",122.65,131.45,"3,100",510.00,775,0.15,4.20,"5,425",-,-,-,-,-,-,
,-,-,-,-,-,-,"5,425",113.90,119.65,"5,425",520.00,775,0.70,1.50,775,-,0.70,-,-,-,6,
,-,-,-,-,-,-,"5,425",103.95,109.20,"3,100",530.00,"1,550",0.45,1.75,775,-,1.05,45.09,1,-1,39,
,-,-,-,-,-,-,"5,425",94.55,100.10,"3,100",540.00,"23,250",0.80,3.85,"31,000",-0.45,1.75,45.95,39,9,48,
,-,-,-,-,68.20,-,"5,425",85.10,90.50,"3,100",550.00,775,2.25,2.60,775,0.75,2.35,44.96,215,10,32,
,2,-,-,-,43.90,1.50,"5,425",75.80,81.40,"3,100",560.00,775,2.90,3.25,775,1.05,2.95,43.28,"1,392",-15,52,
,1,-,-,-,47.60,6.00,"5,425",66.85,72.40,"3,100",570.00,775,3.85,4.35,"1,550",1.15,4.30,43.54,"1,804",47,77,
,11,1,7,42.33,64.55,20.05,"5,425",58.10,63.55,775,580.00,775,5.05,5.50,775,0.70,5.20,41.44,"1,666",34,95,
,7,-,-,-,61.00,-,"1,550",50.00,55.20,"3,875",590.00,775,6.95,8.70,"15,500",1.25,6.65,40.16,"1,062",44,64,
,78,-,-,-,46.00,-,"5,425",41.90,48.80,"7,750",600.00,"23,250",6.85,11.00,"15,500",0.25,8.50,38.96,510,8,219,
,33,-3,7,34.86,38.50,2.50,"5,425",33.55,41.80,"2,325",610.00,"7,750",7.80,15.00,"3,875",-,11.30,38.74,1,-,35,
,57,-1,7,33.24,31.00,-1.10,"5,425",27.95,32.95,"2,325",620.00,"23,250",12.15,15.20,775,0.75,14.75,38.60,14,-2,14,
,50,-4,7,37.00,27.30,2.30,"5,425",21.40,32.30,775,630.00,775,16.40,22.00,775,0.60,19.15,38.96,24,4,29,
,35,1,6,37.66,22.60,1.70,"13,175",16.75,22.80,"2,325",640.00,775,21.60,27.60,"7,750",0.70,23.95,38.85,17,-4,23,
,254,4,30,32.85,15.30,-1.60,"23,250",13.20,18.00,775,650.00,"7,750",26.25,33.05,"5,425",-1.35,25.65,32.48,18,-1,206,
,33,-,-,-,13.05,-,"2,325",7.10,17.20,"2,325",660.00,"2,325",29.35,40.70,"2,325",-,35.50,-,-,-,22,
,17,-,2,35.63,10.20,-0.35,"31,000",4.55,12.00,775,670.00,"2,325",36.20,48.05,"3,875",-,45.65,-,-,-,20,
,22,7,13,33.27,6.60,-1.15,"31,000",2.85,11.05,775,680.00,"7,750",45.05,55.85,"2,325",-,49.90,-,-,-,23,
,20,18,87,35.03,5.50,-0.50,"23,250",4.15,5.95,775,690.00,"3,100",56.20,61.40,"5,425",-,55.25,-,-,-,5,
,191,-2,234,34.32,3.75,-0.35,775,3.60,3.85,775,700.00,"2,325",64.75,68.30,"1,550",-,69.25,-,-,-,25,
,42,19,385,35.82,3.10,0.10,775,2.70,3.05,775,710.00,"2,325",74.15,79.25,"5,425",-,65.50,-,-,-,3,
,12,-,-,-,1.25,-,775,0.50,3.00,775,720.00,"3,100",82.25,88.30,"5,425",-,85.80,-,-,-,5,
,1,-,-,-,1.80,-,"1,550",0.35,2.00,775,730.00,"3,100",92.05,97.30,"5,425",-,85.75,-,-,-,2,
,-,-,-,-,-,-,"8,525",0.25,2.50,775,740.00,"3,875",101.55,108.10,"3,875",-,99.50,-,-,-,4,
,95,5,365,38.27,1.05,-0.10,775,0.80,1.15,"1,550",750.00,-,-,-,-,-,-,-,-,-,-,-
,17,-,-,-,1.25,-,775,0.25,1.25,775,760.00,"5,425",121.10,126.80,"3,100",-,-,-,-,-,-,
,27,-,-,-,0.85,-,775,0.30,1.25,"1,550",780.00,"3,100",141.35,147.50,"3,875",-,-,-,-,-,-,
,4,-,2,46.25,0.85,0.35,"7,750",0.20,3.10,"3,875",790.00,-,-,-,-,-,-,-,-,-,-,-
,46,-,1,33.84,0.05,-0.35,"7,750",0.20,0.40,775,800.00,-,-,-,-,-,-,-,-,-,-,-
,94,-,-,-,0.50,-,"3,100",0.25,2.65,"2,325",810.00,-,-,-,-,-,-,-,-,-,-,-
,33,-,-,-,0.45,-,"2,325",0.20,0.80,"7,750",820.00,-,-,-,-,-,-,-,-,-,-,-
,45,9,13,48.02,0.25,-0.10,"3,100",0.25,0.55,775,840.00,-,-,-,-,-,-,-,-,-,-,-
