CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,400",309.90,327.60,"1,800","1,360.00",600,0.15,4.60,"6,000",-,-,-,-,-,-,
,1,-,-,-,266.00,-,"1,800",269.85,285.30,"1,800","1,400.00",600,0.35,0.45,"1,200",-0.20,0.35,32.68,8,-,565,
,-,-,-,-,-,-,"1,800",229.85,247.35,"1,800","1,440.00",600,0.35,1.00,600,-0.15,0.95,32.50,6,-6,445,
,-,-,-,-,-,-,"1,800",210.85,226.20,"1,800","1,460.00","1,800",0.65,1.20,600,-0.45,1.00,30.30,6,-4,553,
,-,-,-,-,-,-,"1,800",191.00,206.90,"1,800","1,480.00","1,800",1.30,1.80,600,-0.45,2.00,31.45,37,4,215,
,51,-,-,-,169.00,-,"2,400",174.90,187.85,600,"1,500.00",600,2.40,2.60,"1,200",-1.05,2.55,30.21,492,102,675,
,2,-,1,-,160.70,19.20,600,157.75,164.70,600,"1,520.00",600,3.60,3.75,"1,200",-1.25,3.85,30.10,77,7,136,
,7,2,4,-,138.65,3.70,600,138.60,148.10,600,"1,540.00",600,3.90,5.80,600,-1.45,5.80,30.20,209,12,303,
,15,3,6,-,125.30,14.00,600,121.60,133.95,"1,800","1,560.00","1,800",4.20,11.60,600,-2.00,7.95,29.70,167,21,206,
,15,1,4,-,102.65,0.70,600,105.45,112.95,"1,200","1,580.00",600,6.45,15.00,600,-3.15,10.30,28.75,245,19,177,
,93,9,38,17.84,89.80,2.85,600,89.60,93.95,600,"1,600.00",600,13.35,16.30,"1,800",-3.75,13.95,28.36,400,25,689,
,71,-,3,17.05,72.00,1.90,600,75.00,80.50,600,"1,620.00",600,12.45,22.80,"1,200",-4.40,18.50,27.92,370,12,281,
,152,7,212,21.09,61.55,4.00,"4,800",55.05,63.00,"1,200","1,640.00",600,21.05,29.75,600,-4.45,24.90,27.98,388,-20,487,
,359,9,"1,067",21.45,49.00,3.35,600,48.25,50.95,600,"1,660.00",600,31.00,34.00,600,-6.95,31.05,27.01,751,-49,346,
,329,6,"1,005",22.11,38.80,3.50,600,35.25,39.90,600,"1,680.00",600,37.95,43.15,"1,800",-5.90,41.05,27.64,239,19,111,
,733,-9,987,21.95,29.10,2.40,600,28.35,29.45,600,"1,700.00",600,47.95,53.45,"1,200",-6.20,51.70,27.77,137,11,351,
,568,3,410,21.98,21.45,1.50,600,20.55,22.00,"1,200","1,720.00",600,58.65,70.40,"1,800",-6.45,63.75,27.92,13,3,20,
,431,32,479,22.44,16.00,1.45,600,15.50,17.00,600,"1,740.00","5,400",68.65,82.65,600,-6.15,79.15,29.47,9,-,61,
,299,12,316,22.77,11.65,1.10,"3,600",11.00,12.00,600,"1,760.00","1,800",87.70,97.60,600,1.30,102.40,35.92,4,-,81,
,252,20,141,23.03,8.30,0.75,600,8.05,10.50,"1,200","1,780.00","2,400",101.60,114.90,600,-11.80,117.00,36.03,2,1,8,
,819,26,551,23.25,5.80,0.35,600,5.50,5.95,600,"1,800.00","1,200",123.05,129.50,"1,200",-9.35,127.00,31.65,10,-6,37,
,327,27,158,23.33,3.90,0.20,600,3.90,4.40,600,"1,820.00","1,800",135.65,152.70,"1,200",-,154.05,-,-,-,1,
,620,-3,103,23.47,2.60,0.20,600,2.40,2.75,600,"1,840.00","6,000",155.60,168.90,"3,000",-,178.80,-,-,-,3,
,575,134,270,23.99,1.85,0.20,"1,200",1.20,1.85,"1,200","1,860.00","6,000",174.75,191.85,"1,800",-,-,-,-,-,-,
,235,-,-,-,1.10,-,600,0.85,2.15,600,"1,880.00","6,000",194.80,210.95,"1,800",-,-,-,-,-,-,
,413,8,24,25.05,0.95,-0.05,600,0.90,0.95,600,"1,900.00","2,400",213.90,229.55,"1,800",-,221.10,-,-,-,19,
,-,-,-,-,-,-,"1,800",0.30,3.55,"6,000","1,920.00","6,000",233.50,251.50,"1,800",-,-,-,-,-,-,
,15,15,20,29.63,0.80,-36.05,600,0.80,0.95,600,"1,960.00","6,000",273.70,289.15,"1,800",-,-,-,-,-,-,
,94,-3,8,31.68,0.60,0.10,600,0.50,0.85,"3,600","2,000.00","6,000",313.15,328.65,"1,800",-,364.00,-,-,-,1,
