CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,050",695.75,746.80,450,"3,200.00","3,000",2.35,-,-,-,-,-,-,-,-,
,3,-,-,-,521.00,-,600,510.45,543.05,600,"3,400.00",150,14.00,20.00,150,-1.10,16.20,45.76,47,-6,100,
,2,1,2,-,410.70,-148.70,600,418.70,452.65,450,"3,500.00",300,22.25,28.75,150,-3.85,25.40,44.20,102,14,160,
,2,-1,1,21.22,345.40,-9.65,450,326.85,374.55,450,"3,600.00",150,25.35,72.05,600,-1.70,40.00,43.10,8,2,34,
,6,-,-,-,299.50,-,600,260.90,301.10,450,"3,700.00","1,500",61.35,76.05,"3,000",-4.85,64.60,43.25,54,-9,96,
,1,-,-,-,201.65,-,750,194.70,225.05,"1,050","3,800.00",150,95.65,99.00,150,-3.00,100.05,43.97,25,10,101,
,157,-4,166,34.38,151.65,-5.20,150,153.00,165.00,150,"3,900.00",150,139.60,157.90,150,-24.50,139.20,43.00,93,23,120,
,365,-24,542,36.17,110.90,-3.60,150,101.00,112.00,150,"4,000.00",150,188.90,199.00,150,-19.65,192.80,43.36,6,-2,168,
,170,-30,376,36.58,76.05,-7.10,150,75.50,76.85,150,"4,100.00",300,253.80,275.55,450,-,265.00,-,-,-,6,
,215,-44,354,36.75,49.95,-9.00,150,45.00,50.00,"5,400","4,200.00",600,323.30,349.25,"1,050",-,366.55,-,-,-,3,
,105,12,63,36.23,30.05,-11.40,"4,500",26.80,40.35,"3,000","4,300.00",600,405.55,432.70,"1,050",-,-,-,-,-,-,
,163,1,439,37.33,19.95,-6.65,300,19.00,28.40,150,"4,400.00",600,496.45,520.35,"1,050",-0.65,519.35,56.48,9,-,14,
,306,7,576,37.53,12.00,-6.25,150,12.10,12.85,150,"4,500.00",600,584.20,612.30,600,-,617.05,-,-,-,6,
,57,-1,13,37.70,7.00,-5.60,"4,500",4.20,10.00,150,"4,600.00",600,683.60,706.35,"1,050",-,-,-,-,-,-,
,30,-,-,-,9.15,-,150,2.50,23.70,"1,050","4,700.00",-,-,-,-,-,-,-,-,-,-,-
,49,-,2,39.77,3.00,-,150,1.20,14.45,150,"4,800.00",-,-,-,-,-,-,-,-,-,-,-
,1,-,-,-,15.00,-,150,1.15,-,-,"4,900.00",-,-,-,-,-,-,-,-,-,-,-
,53,-4,6,46.24,2.85,1.35,150,0.35,4.00,150,"5,000.00",-,-,-,-,-,-,-,-,-,-,-
,12,-,-,-,2.50,-,150,0.15,4.70,"1,500","5,100.00",-,-,-,-,-,-,-,-,-,-,-
