CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,405.00,-,825,470.55,495.95,"1,100","1,760.00","5,225",0.65,11.60,"11,000",0.10,2.00,50.50,3,-1,31,
,15,-,-,-,406.50,-,"1,100",432.30,449.75,"1,925","1,800.00",550,1.60,3.30,275,-0.30,2.10,46.82,6,-6,28,
,-,-,-,-,-,-,825,392.85,418.60,"1,375","1,840.00",275,1.65,14.40,"1,375",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,100",353.15,375.70,"1,375","1,880.00",275,2.45,11.25,550,-,7.20,-,-,-,45,
,20,-,-,-,310.30,-,550,333.50,353.85,825,"1,900.00",275,4.90,6.10,275,0.95,5.55,44.41,91,-11,138,
,-,-,-,-,-,-,"1,100",316.85,345.50,"1,925","1,920.00",275,2.55,20.10,"1,375",-10.05,5.80,42.57,2,-,8,
,-,-,-,-,-,-,"1,100",274.05,306.50,"1,100","1,960.00",275,2.65,21.25,825,-,8.80,-,-,-,17,
,-,-,-,-,-,-,825,257.80,286.25,"1,100","1,980.00",275,3.10,19.90,275,-,15.55,-,-,-,6,
,96,6,11,32.13,247.40,-36.15,275,245.05,258.90,275,"2,000.00",275,12.50,14.00,275,1.35,13.00,41.65,252,-51,382,
,-,-,-,-,-,-,"1,925",217.50,248.65,"1,375","2,020.00","1,100",5.60,-,-,-,21.20,-,-,-,9,
,-,-,-,-,-,-,825,208.60,226.60,"1,375","2,040.00","8,250",14.45,22.15,"5,500",-1.25,19.15,41.53,46,31,47,
,6,-,-,-,199.75,-,"1,925",192.20,224.05,825,"2,060.00",275,17.00,38.45,"1,100",-1.05,18.30,38.07,1,-,53,
,-,-,-,-,-,-,"2,750",168.80,203.95,"1,100","2,080.00",275,17.35,35.45,275,1.75,23.70,39.02,3,-3,31,
,95,-,-,-,224.65,-,825,158.15,177.40,275,"2,100.00",275,29.80,32.55,275,3.75,29.90,39.93,204,4,400,
,47,-,-,-,182.55,-,825,144.95,163.95,275,"2,120.00",275,32.30,42.15,275,6.75,36.70,40.68,20,-1,36,
,12,1,3,48.26,160.60,-14.40,550,129.90,149.65,550,"2,140.00",275,38.10,44.85,275,7.25,42.60,40.50,11,-5,100,
,16,-,-,-,170.70,-,275,118.25,136.40,825,"2,160.00",275,43.35,49.10,275,4.90,47.10,39.25,9,4,63,
,213,-4,9,42.26,124.30,-31.95,275,109.70,121.85,275,"2,180.00","7,700",47.60,65.30,275,7.65,56.50,40.18,16,-,99,
,334,-10,74,37.56,103.15,-23.60,275,102.10,109.95,825,"2,200.00",275,61.05,65.75,275,11.20,65.70,40.60,234,-5,382,
,19,4,19,36.32,89.60,-43.15,825,79.35,109.40,825,"2,220.00","1,100",55.85,-,-,-,-,-,-,-,-,
,208,3,284,37.57,82.10,-23.95,275,78.25,89.80,550,"2,240.00",275,76.50,86.00,275,12.55,83.20,39.94,185,21,122,
,87,9,159,36.28,70.00,-24.05,"6,050",63.95,76.75,275,"2,260.00",275,85.35,103.30,"1,100",10.90,92.15,39.19,128,27,42,
,146,-3,274,37.51,64.05,-20.25,275,63.80,74.60,"2,750","2,280.00",275,102.00,113.90,275,17.15,106.40,40.59,16,1,35,
,717,-17,752,37.64,56.50,-19.85,275,55.30,56.75,550,"2,300.00",275,116.05,124.35,825,14.10,115.60,39.27,301,-4,126,
,19,5,34,37.37,48.85,-17.90,275,42.95,57.65,275,"2,320.00","2,750",116.40,145.35,"1,375",-,-,-,-,-,-,
,15,-1,21,36.62,41.00,-19.05,275,40.75,44.95,275,"2,340.00",275,135.60,150.65,275,-,126.05,-,-,-,5,
,51,1,16,39.61,40.95,-7.50,"8,250",31.25,40.95,275,"2,360.00",275,148.90,163.10,275,20.85,159.00,41.02,4,1,3,
,83,-,-,-,46.00,-0.05,275,22.75,39.70,275,"2,380.00","1,925",154.10,185.10,550,-,157.35,31.78,4,-,6,
,571,-106,553,37.72,27.70,-13.65,275,27.10,27.90,825,"2,400.00",825,178.40,194.90,825,16.50,187.00,40.17,6,1,7,
,37,-16,43,37.28,23.00,-13.20,"8,250",19.35,28.95,"5,500","2,420.00",275,194.75,210.25,275,28.65,191.80,33.09,1,1,4,
,4,-,-,-,29.25,-,275,4.55,35.20,"2,750","2,440.00","2,750",197.05,237.60,825,-,-,-,-,-,-,
,12,2,5,37.29,16.50,5.00,"11,000",7.80,22.40,275,"2,460.00","1,100",219.60,245.50,"1,100",-,296.75,-,-,-,3,
,289,34,257,37.39,14.00,-9.05,"8,250",11.30,18.25,"5,500","2,480.00","1,375",242.80,262.35,"1,375",-,202.95,-,-,-,1,
,148,-3,98,37.46,9.85,-7.50,275,8.20,10.25,"2,750","2,520.00","2,750",278.35,298.20,825,-,-,-,-,-,-,
,681,-15,182,37.50,6.80,-5.15,"8,250",5.35,8.35,275,"2,560.00","1,100",315.30,337.10,825,-,-,-,-,-,-,
,27,27,35,37.68,4.70,-2.05,275,3.05,5.30,550,"2,600.00","1,375",354.85,372.85,"1,375",-,-,-,-,-,-,
