CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"12,600",82.50,85.60,"7,200",280.00,"9,000",0.20,0.60,"3,600",-,0.15,-,-,-,85,
,-,-,-,-,-,-,"7,200",73.00,76.55,"5,400",290.00,"1,800",0.60,0.80,"1,800",0.20,0.70,54.71,11,-,20,
,9,-,-,-,66.65,-,"12,600",63.40,66.25,"7,200",300.00,"1,800",0.80,1.00,"3,600",0.10,0.85,49.79,24,1,128,
,4,-,-,-,59.05,-,"7,200",58.25,62.20,"5,400",305.00,"54,000",0.20,2.60,"54,000",-,1.05,-,-,-,19,
,10,1,4,56.19,56.65,17.20,"12,600",53.90,56.60,"7,200",310.00,"3,600",1.30,1.40,"1,800",0.25,1.35,47.64,8,-6,118,
,7,2,5,40.37,50.10,14.20,"7,200",49.35,52.05,"5,400",315.00,"1,800",1.70,1.80,"3,600",0.25,1.70,46.62,5,-1,25,
,8,-,-,-,46.80,-,"1,800",44.65,47.40,"7,200",320.00,"1,800",2.05,2.20,"3,600",0.30,2.15,45.73,23,-3,25,
,3,-,-,-,38.85,-,"3,600",40.35,44.50,"12,600",325.00,"1,800",2.60,4.40,"1,800",-,2.25,42.31,4,1,8,
,12,-1,1,45.94,38.05,-1.90,"1,800",36.15,38.65,"5,400",330.00,"1,800",3.25,3.40,"1,800",0.55,3.25,43.35,39,-6,150,
,19,3,3,41.08,33.00,-1.15,"12,600",31.70,34.15,"3,600",335.00,"1,800",4.00,4.15,"1,800",0.65,4.00,42.24,7,-,45,
,19,-,-,-,31.40,-,"3,600",27.70,30.30,"12,600",340.00,"1,800",4.95,5.05,"23,400",0.80,5.00,41.51,43,-9,134,
,24,-1,18,39.82,25.25,-2.95,"3,600",23.10,27.45,"5,400",345.00,"3,600",5.10,7.30,"1,800",1.00,6.25,40.97,49,-3,64,
,90,5,36,39.66,21.85,-2.35,"1,800",20.75,22.35,"1,800",350.00,"54,000",6.50,8.15,"1,800",1.20,7.75,40.49,141,-13,241,
,34,5,31,38.98,18.55,-2.00,"3,600",17.20,20.15,"1,800",355.00,"1,800",8.40,10.50,"1,800",1.30,9.50,40.00,70,4,98,
,272,16,344,39.42,15.90,-1.70,"1,800",15.30,16.30,"1,800",360.00,"3,600",10.40,11.75,"1,800",1.40,11.45,39.31,298,17,343,
,162,51,515,38.71,13.15,-1.65,"1,800",12.50,13.30,"3,600",365.00,"3,600",12.85,15.10,"5,400",1.75,13.95,39.41,209,52,189,
,262,48,457,38.90,11.00,-1.40,"1,800",10.15,11.20,"1,800",370.00,"3,600",15.75,17.65,"1,800",1.85,16.50,38.82,80,-3,152,
,96,13,134,38.71,9.00,-1.15,"1,800",8.25,10.05,"7,200",375.00,"3,600",18.55,20.75,"1,800",2.30,19.75,39.46,26,-1,43,
,341,43,264,38.60,7.30,-1.10,"3,600",6.10,8.55,"5,400",380.00,"1,800",21.80,23.45,"1,800",2.40,22.95,39.17,21,3,31,
,12,-5,39,37.82,5.65,-1.10,"1,800",4.80,7.15,"36,000",385.00,"5,400",24.90,27.80,"1,800",0.95,25.10,34.42,1,-1,4,
,143,-16,154,38.81,4.75,-0.75,"3,600",4.65,4.80,"16,200",390.00,"3,600",29.55,31.75,"1,800",-,32.45,-,-,-,11,
,56,2,55,38.78,3.75,-0.85,"1,800",3.75,3.95,"1,800",395.00,"5,400",33.15,36.10,"12,600",2.70,34.45,40.04,1,-1,7,
,324,4,195,39.52,3.10,-0.50,"3,600",3.00,3.15,"1,800",400.00,"7,200",37.30,40.05,"12,600",-,36.05,-,-,-,31,
,33,5,13,39.42,2.40,-0.30,"1,800",2.40,2.60,"1,800",405.00,"5,400",41.65,44.80,"12,600",3.15,42.75,39.54,2,-2,6,
,28,-4,15,39.99,1.95,-0.40,"1,800",1.90,2.05,"1,800",410.00,"5,400",46.15,48.95,"12,600",-,44.15,-,-,-,7,
,69,-8,14,40.03,1.15,-0.20,"1,800",0.40,1.35,"5,400",420.00,"7,200",55.45,58.25,"12,600",-,53.00,-,-,-,6,
,19,1,1,42.10,1.10,0.10,"9,000",0.25,2.70,"5,400",425.00,-,-,-,-,-,-,-,-,-,-,-
,49,-2,6,41.66,0.80,-0.20,"1,800",0.60,2.35,"7,200",430.00,"7,200",64.90,68.95,"12,600",-,-,-,-,-,-,
,9,-,-,-,0.55,-,"1,800",0.15,0.55,"3,600",450.00,"7,200",84.35,87.50,"9,000",-,105.00,-,-,-,4,
,4,-,-,-,0.35,-,"1,800",0.10,1.80,"12,600",460.00,"12,600",94.25,98.25,"9,000",-,113.00,-,-,-,4,
,3,-,-,-,0.30,-,"1,800",0.05,0.50,"1,800",480.00,"5,400",112.50,117.30,"7,200",-,115.00,-,-,-,1,
